,INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED
17,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,108000.0,108000,117547.0,117547,108000.0,113001,108000.0,108000,108000.0,108000,108000.0,108000,111171.0,122555,122555.0,122555,108000.0,108000,75000,JNTUH
18,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,HAYATHNAGAR,RR,COED,PVT,2005,MEC,MECHANICAL ENGINEERING,116054.0,116123,116054.0,116123,116054.0,116123,116054.0,116123,116054.0,116123,116054.0,116123,116054.0,116123,116054.0,116123,116054.0,116123,75000,JNTUH
19,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,CIV,CIVIL ENGINEERING,125725.0,125725,125725.0,125725,125725.0,125725,125725.0,125725,125725.0,125725,125725.0,125725,125725.0,125725,125725.0,125725,125725.0,125725,65000,JNTUH
20,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,CSE,COMPUTER SCIENCE AND ENGINEERING,53376.0,103784,77209.0,103784,81910.0,103784,77439.0,103784,87336.0,103784,94223.0,103784,110275.0,110275,67990.0,103784,98788.0,106450,65000,JNTUH
21,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,72778.0,72778,111766.0,111766,72778.0,124907,72778.0,72778,106699.0,106699,104658.0,104658,122055.0,122055,75574.0,117646,72778.0,72778,65000,JNTUH
22,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,45103.0,106699,124933.0,124933,125190.0,125190,45103.0,106699,45103.0,111766,110560.0,110560,123994.0,124910,122844.0,122844,45103.0,106699,65000,JNTUH
23,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,KOTHAGUDEM,KGM,COED,PVT,2007,MIN,MINING ENGINEERING,77201.0,77201,77201.0,77201,77201.0,77201,77201.0,77201,77201.0,77201,77201.0,77201,77201.0,77201,77201.0,77201,77201.0,77201,65000,JNTUH
24,ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CIV,CIVIL ENGINEERING,68290.0,93230,68290.0,93230,120358.0,120358,68290.0,93230,68290.0,93230,68290.0,93230,119260.0,119260,124924.0,124924,68290.0,93230,90000,JNTUH
25,ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,CSE,COMPUTER SCIENCE AND ENGINEERING,29720.0,29720,79091.0,88409,42793.0,48232,53655.0,53655,52052.0,52052,57164.0,76607,80746.0,80746,72791.0,79801,47157.0,47157,90000,JNTUH
26,ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,58177.0,63146,103331.0,103851,89874.0,94780,90799.0,90799,95068.0,99840,103594.0,103594,126042.0,126042,118075.0,121330,80264.0,80264,90000,JNTUH
27,ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,35840.0,110535,35840.0,110535,115452.0,115452,35840.0,110535,81276.0,110535,35840.0,110535,125932.0,125932,122525.0,122525,35840.0,110535,90000,JNTUH
28,ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SRP,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,113651.0,113651,113651.0,113651,113651.0,113651,113651.0,113651,113651.0,113651,113651.0,113651,113651.0,113651,123030.0,123030,113651.0,113651,90000,JNTUH
29,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CIV,CIVIL ENGINEERING,108771.0,108771,108771.0,108771,108771.0,108771,108771.0,108771,108771.0,108771,108771.0,108771,125379.0,125379,125379.0,125379,108771.0,108771,67000,JNTUH
30,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CSE,COMPUTER SCIENCE AND ENGINEERING,45546.0,45546,98538.0,100158,59418.0,78982,66442.0,66442,65563.0,65563,90158.0,108998,112316.0,112316,66414.0,112722,56312.0,64890,67000,JNTUH
31,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,CSM,"COMPUTER SCIENCE AND ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",95056.0,95056,98839.0,107424,95056.0,105665,97930.0,112891,99847.0,116246,95056.0,116975,126062.0,126062,95056.0,95056,95056.0,95056,67000,JNTUH
32,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,65785.0,115585,117211.0,117211,117533.0,118242,65785.0,115585,111058.0,115585,65785.0,115585,121647.0,121647,101145.0,125101,91193.0,115585,67000,JNTUH
33,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,COED,PVT,2006,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,115003.0,115255,115003.0,115255,117178.0,117178,115003.0,115255,117211.0,117211,115003.0,115255,125582.0,125582,125285.0,125285,115003.0,115255,67000,JNTUH
