S.No,Institute Code,Institute Name,Place,Dist. Name,Region,CollegeType,Minority,Co-Educ.,Affil.to,BranchCode,fee,Convener Seats
42,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RR,OU,PVT,NA,COED,JNTUH,EEE,67000,42
43,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CIV,60000,42
44,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSE,60000,42
45,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSM,60000,42
46,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,ECE,60000,42
47,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,EEE,60000,21
48,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,MEC,60000,21
49,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,AIM,45000,84
50,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSE,45000,210
51,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,ECE,45000,42
52,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,MEC,45000,42
53,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSD,70000,42
54,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSE,70000,126
55,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,CSM,70000,42
56,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,ECE,70000,84
57,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,EEE,70000,21
58,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,OU,PVT,NA,COED,JNTUH,MEC,70000,21
59,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CIV,92000,21
60,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSC,92000,42
61,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSD,92000,42
62,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSE,92000,126
63,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSM,92000,84
64,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,ECE,92000,84
65,AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,MEC,92000,21
66,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,OU,PVT,NA,COED,JNTUH,CIV,89000,42
67,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,OU,PVT,NA,COED,JNTUH,CSC,89000,42
68,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,OU,PVT,NA,COED,JNTUH,CSD,89000,42
69,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,OU,PVT,NA,COED,JNTUH,CSE,89000,168
70,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,OU,PVT,NA,COED,JNTUH,CSM,89000,84
71,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,OU,PVT,NA,COED,JNTUH,ECE,89000,126
72,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,OU,PVT,NA,COED,JNTUH,EEE,89000,42
